u,v,key,osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,access,junction,tunnel
68625100,1295360143,0,"[477683469, 32143581, 114329479]",2,17,Southwest By-Pass,trunk,90,False,False,726.648,yes,"LINESTRING (-81.1085108 46.4238964, -81.108401 46.4238734, -81.1079676 46.4237958, -81.1074863 46.4237289, -81.1070394 46.4236763, -81.1066526 46.423642, -81.1062406 46.4236104, -81.105299 46.4235406, -81.1049968 46.4235191, -81.104677 46.4235005, -81.1043308 46.4234797, -81.1038712 46.4234561, -81.1032618 46.4234273, -81.1026226 46.423421, -81.1020453 46.4234328, -81.1015187 46.4234516, -81.1010557 46.4234779, -81.1006113 46.4235061, -81.1000736 46.4235552, -81.0994918 46.4236122, -81.0991047 46.4236579)",,,
68625100,360868769,0,"[32143627, 32143620]","['1', '2']",17,Southwest By-Pass,motorway,"['100', '90']",True,False,501.061,,"LINESTRING (-81.1085108 46.4238964, -81.109599 46.4241671, -81.1101402 46.4243063, -81.1105874 46.4244326, -81.1110036 46.4245582, -81.1114883 46.4247253, -81.1118039 46.4248389, -81.112591 46.4251501, -81.1132929 46.4254058, -81.1139112 46.425634, -81.1144134 46.4258116)",,,
68625102,412981830,0,477683466,2,,Kantola Road,tertiary,,False,True,81.643,,"LINESTRING (-81.0977966 46.4238543, -81.0977866 46.4231201)",,,
68625102,1295360143,0,477683468,2,17,Southwest By-Pass,trunk,90,False,True,102.615,,"LINESTRING (-81.0977966 46.4238543, -81.0991047 46.4236579)",,,
68625102,1295360211,0,477683465,2,17,Southwest By-Pass,trunk,90,False,False,160.115,,"LINESTRING (-81.0977966 46.4238543, -81.0977267 46.4238663, -81.0972895 46.4239421, -81.0968121 46.4240346, -81.0964258 46.4241122, -81.0957865 46.4242453)",,,
68625102,1295360212,0,477683467,2,,Fielding Road,tertiary,50,False,False,93.615,,"LINESTRING (-81.0977966 46.4238543, -81.0977966 46.4239501, -81.0977969 46.4246962)",,,
287495660,4732023986,0,480189212,,144,Highway 144,primary,,False,False,150.436,,"LINESTRING (-81.1827472 46.5684385, -81.1831969 46.5671214)",,,
287495660,4732023998,0,480189213,2,15,Regional Road 15,secondary,,False,False,136.548,,"LINESTRING (-81.1827472 46.5684385, -81.1825732 46.5690014, -81.1823706 46.5696389)",,,
287495660,4732023992,0,480189214,2,144,Highway 144,primary,80,False,True,149.73000000000002,,"LINESTRING (-81.1827472 46.5684385, -81.1837549 46.5685969, -81.1845274 46.5687273, -81.1846551 46.5687421)",,,
287495660,2508022553,0,"[1141510749, 1141510750, 1141510751]","['6', '5', '4']",35,Old Highway 144,primary,80,False,False,386.31300000000005,,"LINESTRING (-81.1827472 46.5684385, -81.1814946 46.5682558, -81.1809717 46.5681655, -81.1802492 46.5680408, -81.1795393 46.5678748, -81.1789548 46.5676613, -81.1784979 46.5674541, -81.1780831 46.5672275)",,,
317425288,360856998,0,114491296,1,,,motorway_link,,True,False,83.48599999999999,,"LINESTRING (-81.1230687 46.4262283, -81.1229569 46.4260923, -81.1228566 46.4260045, -81.1227512 46.4259414, -81.1226433 46.4258948, -81.1225358 46.4258543, -81.1222368 46.4257956)",,,
317425288,360856728,0,"[32143619, 483001133]",2,55,Old Highway 17,primary,90,True,False,235.11700000000002,yes,"LINESTRING (-81.1230687 46.4262283, -81.1223787 46.4265831, -81.1217813 46.4269195, -81.1213087 46.4272028, -81.1207163 46.4275826)",,,
317425290,413016364,0,32143582,,55,Old Highway 17,primary,90,False,False,290.126,,"LINESTRING (-81.1437433 46.4177842, -81.1442752 46.4175686, -81.1450802 46.4172379, -81.1469571 46.416407)",,,
317425290,2495687103,0,32143611,,55,Old Highway 17,primary,90,True,False,391.67699999999996,,"LINESTRING (-81.1437433 46.4177842, -81.1410839 46.4186754, -81.139402 46.419374, -81.1392401 46.4194412)",,,
317425300,2495682059,0,241993841,,55,Old Highway 17,primary,80,False,False,188.191,,"LINESTRING (-81.1889231 46.4033165, -81.1913116 46.4029272)",,,
317425300,2495682264,0,241993841,,55,Old Highway 17,primary,80,False,True,129.697,,"LINESTRING (-81.1889231 46.4033165, -81.1872781 46.403588)",,,
317425300,413072618,0,35258846,2,,St. Louis Street,residential,,False,False,127.993,,"LINESTRING (-81.1889231 46.4033165, -81.1890529 46.403655, -81.189368 46.4044259)",,,
360856539,6796012893,0,724630341,4,144,Highway 144,primary,,False,False,20.821,,"LINESTRING (-81.1834125 46.4213541, -81.1833938 46.4211673)",,,
360856539,360856552,0,32143564,1,,,motorway_link,,True,False,699.675,,"LINESTRING (-81.1834125 46.4213541, -81.1834842 46.4211556, -81.1834399 46.42018, -81.1834744 46.4198513, -81.1835852 46.4194407, -81.1837513 46.4191447, -81.184 46.41884, -81.1844438 46.4185051, -81.18504 46.41824, -81.1856656 46.4180931, -81.1863131 46.4179991, -81.1889599 46.4177399)",,,
360856539,413082870,0,"[249630042, 724630341]",4,144,Highway 144,primary,90,False,True,3607.38,,"LINESTRING (-81.1834125 46.4213541, -81.1833863 46.421929, -81.1833328 46.4224527, -81.183188 46.423117, -81.1830125 46.4236543, -81.1829382 46.4238377, -81.1814478 46.4271013, -81.1812595 46.4277849, -81.1811908 46.4285207, -81.1812402 46.4291356, -81.1814226 46.4297764, -81.1816994 46.4304142, -81.182113 46.4310986, -81.1876143 46.4393475, -81.1946186 46.4494945, -81.1960559 46.4513275)",,,
360856552,360976811,0,"[241993760, 241993762, 32149544, 206614896, 32151505, 206614899, 241993759]",2,17,Highway 17,motorway,100,True,False,14041.721,yes,"LINESTRING (-81.1889599 46.4177399, -81.1916515 46.4175817, -81.1942532 46.4174177, -81.1962107 46.4172543, -81.1982682 46.4169971, -81.2013077 46.4164593, -81.2045108 46.4155943, -81.2068956 46.4148228, -81.2087193 46.4140746, -81.211221 46.4128354, -81.2170846 46.409431, -81.2178013 46.4090204, -81.2185816 46.4086189, -81.2199404 46.4079808, -81.2231919 46.4068734, -81.2329505 46.4042154, -81.2331243 46.404168, -81.2426284 46.4016429, -81.2508433 46.3994656, -81.2525656 46.3990317, -81.2535766 46.3988552, -81.2546874 46.3986793, -81.2557205 46.3985936, -81.2567444 46.3985391, -81.258498 46.3984865, -81.2602691 46.3985917, -81.2626012 46.3988723, -81.2639164 46.3991529, -81.2650913 46.3994685, -81.2813749 46.4048388, -81.2827494 46.405185, -81.28431 46.4055007, -81.2859583 46.4056936, -81.2886413 46.4057286, -81.2906929 46.4055532, -81.2925341 46.4051675, -81.3039497 46.4023618, -81.3132773 46.4000299, -81.3147065 46.3996726, -81.3180481 46.3988372, -81.3199244 46.3982586, -81.322695 46.3970661, -81.3243784 46.3961544, -81.3258865 46.3951899, -81.3276049 46.3937871, -81.344246 46.3795834, -81.3450176 46.3789347, -81.3473253 46.3769167)",,,
360856567,360856578,0,32143566,1,,,motorway_link,,True,False,631.67,,"LINESTRING (-81.17681 46.419, -81.1786743 46.4187422, -81.1793769 46.418667, -81.1798999 46.41862, -81.1801946 46.4186058, -81.1804973 46.4186006, -81.1807398 46.4186145, -81.1809743 46.4186364, -81.1812089 46.4186626, -81.1814251 46.4186961, -81.1816083 46.4187456, -81.18175 46.4188, -81.1819189 46.4188768, -81.1821313 46.4190015, -81.1822866 46.4190997, -81.1824221 46.4192116, -81.1825528 46.4193226, -81.1827267 46.4195362, -81.1828318 46.4196898, -81.1829621 46.4199181, -81.1832326 46.4204952, -81.183306 46.4206642)",,,
360856567,360856552,0,32149541,2,17,Highway 17,motorway,100,True,False,943.518,,"LINESTRING (-81.17681 46.419, -81.1785912 46.4186754, -81.18014 46.41845, -81.1816237 46.4182745, -81.1828599 46.41816, -81.1889599 46.4177399)",,,
360856578,6796012893,0,479505645,2,,,motorway_link,,True,False,56.393,,"LINESTRING (-81.183306 46.4206642, -81.1833338 46.4209102, -81.1833938 46.4211673)",,,
360856686,360856578,0,"[32143579, 724630340, 724630342, 32143567]",1,,,motorway_link,,True,False,927.97,yes,"LINESTRING (-81.18409 46.4177099, -81.1823183 46.4178015, -81.181813 46.4177989, -81.1816717 46.4177884, -81.1815361 46.4177606, -81.1813484 46.4177184, -81.1811669 46.4176588, -81.1810188 46.4175873, -81.1809084 46.4175061, -81.1807905 46.4173556, -81.18071 46.41716, -81.1807145 46.4169972, -81.1808025 46.4168283, -81.1809888 46.4166567, -81.1810804 46.4166056, -81.1813062 46.4165106, -81.1814886 46.416467, -81.1816568 46.416457, -81.181856 46.4164683, -81.1820632 46.4165064, -81.182239 46.4165795, -81.1823558 46.4166523, -81.1824524 46.4167368, -81.1825179 46.4168257, -81.1825774 46.416962, -81.1826191 46.4171126, -81.1826607 46.4173063, -81.182728 46.4176622, -81.1828576 46.4182828, -81.1832859 46.420487, -81.183306 46.4206642)",,,
360856686,360927400,0,32149545,2,17,Highway 17,motorway,100,True,False,623.6210000000001,,"LINESTRING (-81.18409 46.4177099, -81.1827899 46.41782, -81.1815544 46.4179499, -81.18021 46.41811, -81.1783973 46.4183699, -81.17611 46.41877)",,,
360856728,1295348287,0,"[32143584, 32143619]",2,55,Old Highway 17,primary,90,True,False,205.561,yes,"LINESTRING (-81.1207163 46.4275826, -81.120294 46.4278531, -81.1197103 46.4282825, -81.1188935 46.4289364)",,,
360856732,413047887,0,32143584,2,55,Old Highway 17,primary,90,True,False,687.995,,"LINESTRING (-81.115873 46.4315205, -81.1102078 46.4363203)",,,
360856732,413261402,0,32148416,2,,Cemetery Road,unclassified,50,False,False,23.134,,"LINESTRING (-81.115873 46.4315205, -81.1161044 46.4316541)",,,
360856780,360856728,0,"[114328874, 26251461]",1,,,motorway_link,,True,False,606.6790000000001,yes,"LINESTRING (-81.1220731 46.427768, -81.1209573 46.4273407, -81.1207018 46.4272485, -81.120511 46.4271627, -81.1203429 46.4270854, -81.1201013 46.4269277, -81.1200089 46.4268418, -81.1199406 46.4267546, -81.1198924 46.4266586, -81.1198709 46.4265576, -81.1198679 46.4264611, -81.1198879 46.4263567, -81.1199323 46.4262486, -81.1200011 46.4261564, -81.1200801 46.4260816, -81.1201777 46.426007, -81.1202981 46.4259388, -81.1204031 46.4258958, -81.1205343 46.425862, -81.1207166 46.4258362, -81.1208786 46.4258397, -81.1209752 46.4258499, -81.1211166 46.4258784, -81.1212836 46.4259355, -81.1214115 46.4259949, -81.1215228 46.4260687, -81.1216233 46.4261636, -81.1216797 46.426253, -81.1217209 46.4263583, -81.1217362 46.4264674, -81.1217306 46.4265627, -81.1216989 46.4266712, -81.1216498 46.4267754, -81.1215554 46.426885, -81.1214721 46.4269728, -81.1213705 46.4270645, -81.1212065 46.4271752, -81.1207963 46.4274512, -81.1207163 46.4275826)",,,
360856780,360856969,0,"[32143541, 272633383]",2,17,"['Highway 17', 'Southwest By-Pass']",motorway,100,True,False,699.531,,"LINESTRING (-81.1220731 46.427768, -81.121177 46.4274856, -81.1199904 46.427148, -81.1191427 46.4268945, -81.1171522 46.4262822, -81.1137574 46.4251775)",,,
360856881,2500156741,0,889071872,,55,Old Highway 17,primary,90,True,False,317.685,,"LINESTRING (-81.1260455 46.4252001, -81.127715 46.4244693, -81.1295722 46.4236996)",,,
360856884,2500156741,0,554325246,2,,Lloyd Street,residential,,False,False,22.52,,"LINESTRING (-81.1294192 46.4235267, -81.1295722 46.4236996)",,,
360856884,413223965,0,35246842,2,,Lloyd Street,residential,,False,True,50.32599999999999,,"LINESTRING (-81.1294192 46.4235267, -81.1292692 46.423346, -81.1290578 46.4231498)",,,
360856884,360856899,0,889071871,,55,Old Highway 17,primary,90,True,False,381.379,,"LINESTRING (-81.1294192 46.4235267, -81.1277025 46.424262, -81.1251711 46.4253123)",,,
360856899,360856998,0,32143635,1,,,motorway_link,,True,False,235.73599999999996,,"LINESTRING (-81.1251711 46.4253123, -81.1244708 46.425535, -81.1242673 46.4256035, -81.1240611 46.4256606, -81.1238969 46.4257029, -81.1237046 46.4257434, -81.1235138 46.4257761, -81.1232921 46.4258001, -81.1231027 46.4258169, -81.1228947 46.4258187, -81.1226935 46.4258205, -81.1222368 46.4257956)",,,
360856899,317425288,0,554325245,,55,Old Highway 17,primary,90,True,False,190.689,,"LINESTRING (-81.1251711 46.4253123, -81.1242506 46.4256909, -81.1235458 46.4260191, -81.1230687 46.4262283)",,,
360856969,68625100,0,"[114329477, 272633383]","['1', '2']",17,Southwest By-Pass,motorway,"['100', '90']",True,False,427.36199999999997,,"LINESTRING (-81.1137574 46.4251775, -81.1127106 46.4249299, -81.1117851 46.4246521, -81.1113754 46.4245335, -81.1110004 46.4244315, -81.110507 46.4243115, -81.1100928 46.4242153, -81.1093645 46.424045, -81.1088315 46.423931, -81.1085108 46.4238964)",,,
360856998,360856969,0,32143636,1,,,motorway_link,,True,False,669.274,,"LINESTRING (-81.1222368 46.4257956, -81.1219803 46.4257691, -81.1216231 46.4257419, -81.1212741 46.4257103, -81.1209292 46.4256931, -81.1206238 46.4256858, -81.1203707 46.4256939, -81.1201725 46.425712, -81.1198647 46.4257503, -81.1188666 46.4258828, -81.1185155 46.4259334, -81.1181547 46.4259763, -81.1179106 46.4259939, -81.1176133 46.4259984, -81.1173382 46.425993, -81.1170254 46.4259712, -81.116744 46.4259371, -81.1164472 46.4258774, -81.1160772 46.4257895, -81.1137574 46.4251775)",,,
